sexe;prenom;nombre
2;CHLOÉ;156059
2;CHRISTELLE;155772
2;JOSETTE;154100
1;DENIS;153067
2;GEORGETTE;152941
1;KEVIN;152902
1;MATHIEU;152384
2;CHARLOTTE;151803
1;BENJAMIN;151748
1;RAPHAËL;151252
1;HUGO;151119
1;ALEXIS;149779
2;LAURA;148893
2;FLORENCE;148085
1;JOËL;146544
2;MATHILDE;145376
2;MARIA;141969
2;AUDREY;141545
2;BERNADETTE;141514
1;HERVÉ;139546
1;ADRIEN;138240
1;PATRICE;138110
2;GISÈLE;137165
1;EMMANUEL;136399
1;SYLVAIN;135871
1;ARNAUD;134684
1;FABRICE;134527
1;CEDRIC;133633
2;MÉLANIE;133287
1;VICTOR;132612
2;ANAÏS;132563
1;ROLAND;132473
2;LAETITIA;132436
1;ARTHUR;132380
2;NADINE;131644
2;GINETTE;131597
2;ANNICK;131458
2;BÉATRICE;131231
2;MIREILLE;129879
1;QUENTIN;128696
1;LÉON;128520
2;EVELYNE;128066
1;FLORIAN;127750
2;DELPHINE;127660
1;LUDOVIC;127123
2;HENRIETTE;126914
1;DAMIEN;126236
1;BENOÎT;125617
2;MARION;125355
1;THÉO;124197
2;JOSIANE;123109
2;MARTHE;122787
2;MICHELLE;122231
2;ANNA;121954
2;KARINE;121141
2;MARINE;119022
1;NATHAN;118903
1;FERNAND;118626
2;ELISE;118462
1;ENZO;118202
1;JEAN-LUC;117599
1;JEREMY;117348
1;LÉO;115561
1;VALENTIN;114124
2;ELIANE;113639
2;AGNÈS;112939
1;XAVIER;112650
2;LILIANE;112261
2;MICHELINE;111859
1;FABIEN;110958
2;ROSE;110808
1;MICKAEL;108693
1;BAPTISTE;106510
1;EUGÈNE;106275
1;LOÏC;105897
2;CAROLE;105838
1;JONATHAN;105425
2;FABIENNE;105318
2;SIMONNE;105229
2;SANDRA;103890
2;JOCELYNE;103546
2;PASCALE;102604
2;GABRIELLE;101672
2;JADE;101476
2;INÈS;100881
2;ANNE-MARIE;100410
1;JEAN-FRANÇOIS;99641
2;CLARA;99413
2;MYRIAM;98878
2;AMÉLIE;98078
1;MOHAMED;96073
2;AMANDINE;96029
2;SABRINA;95870
1;SAMUEL;94495
2;JUSTINE;94447
1;GASTON;93702
2;JOËLLE;93702
2;ALEXANDRA;93310
2;ODILE;93149
2;FRANCINE;92754
1;LIONEL;92393
1;SIMON;92190
2;MARYSE;91874
1;JEAN-MARC;90917
2;SOLANGE;90901
2;ALINE;90832
1;TOM;90746
1;RÉMI;90297
2;HUGUETTE;90183
2;JOSEPHINE;90088
2;EVA;90038
2;MARIE-THÉRÈSE;89179
1;CYRIL;88429
1;JEAN-PAUL;87825
1;MARIUS;87518
1;MATHIS;86972
1;JEAN-MARIE;86839
1;JEAN-MICHEL;86767
1;AXEL;86746
1;YANN;86578
1;YANNICK;86529
2;CLÉMENCE;85550
2;OCÉANE;85259
1;AUGUSTE;85135
2;FERNANDE;85090
1;ETIENNE;84814
1;RICHARD;83979
2;SONIA;83763
2;LAURE;83560
2;IRÈNE;82102
1;MATTHIEU;82040
2;PIERRETTE;81918
1;MICHAEL;81327
2;VANESSA;80803
